,RA_Center,DEC_Center
844,10.28571,73.0
845,13.71429,73.0
846,17.14286,73.0
847,20.57143,73.0
848,24.0,73.0
849,27.42857,73.0
850,30.85714,73.0
851,34.28571,73.0
852,37.71429,73.0
853,41.14286,73.0
854,44.57143,73.0
855,48.0,73.0
856,51.42857,73.0
857,54.85714,73.0
858,58.28571,73.0
859,61.71429,73.0
860,65.14286,73.0
861,68.57143,73.0
862,72.0,73.0
863,75.42857,73.0
864,78.85714,73.0
865,82.28571,73.0
866,85.71429,73.0
867,89.14286,73.0
868,92.57143,73.0
869,96.0,73.0
870,99.42857,73.0
871,102.85714,73.0
872,106.28571,73.0
873,109.71429,73.0
874,113.14286,73.0
875,116.57143,73.0
876,120.0,73.0
877,123.42857,73.0
878,126.85714,73.0
879,130.28571,73.0
880,133.71429,73.0
881,137.14286,73.0
882,140.57143,73.0
883,144.0,73.0
884,147.42857,73.0
885,150.85714,73.0
886,154.28571,73.0
887,157.71429,73.0
888,161.14286,73.0
889,164.57143,73.0
890,168.0,73.0
891,171.42857,73.0
892,174.85714,73.0
893,178.28571,73.0
894,181.71429,73.0
895,185.14286,73.0
896,188.57143,73.0
897,192.0,73.0
898,195.42857,73.0
899,198.85714,73.0
900,202.28571,73.0
901,205.71429,73.0
902,209.14286,73.0
903,212.57143,73.0
904,216.0,73.0
905,219.42857,73.0
906,222.85714,73.0
907,226.28571,73.0
908,229.71429,73.0
909,233.14286,73.0
910,236.57143,73.0
911,240.0,73.0
912,243.42857,73.0
913,246.85714,73.0
914,250.28571,73.0
915,253.71429,73.0
916,257.14286,73.0
917,260.57143,73.0
918,264.0,73.0
919,267.42857,73.0
920,270.85714,73.0
921,274.28571,73.0
922,277.71429,73.0
923,281.14286,73.0
924,284.57143,73.0
925,288.0,73.0
926,291.42857,73.0
927,294.85714,73.0
928,298.28571,73.0
929,301.71429,73.0
930,305.14286,73.0
931,308.57143,73.0
932,312.0,73.0
933,315.42857,73.0
934,318.85714,73.0
935,322.28571,73.0
936,325.71429,73.0
937,329.14286,73.0
938,332.57143,73.0
939,336.0,73.0
940,339.42857,73.0
941,342.85714,73.0
942,346.28571,73.0
943,349.71429,73.0
944,353.14286,73.0
945,356.57143,73.0
946,0.0,72.0
947,3.24324,72.0
948,6.48649,72.0
949,9.72973,72.0
950,12.97297,72.0
951,16.21622,72.0
952,19.45946,72.0
953,22.7027,72.0
954,25.94595,72.0
955,29.18919,72.0
956,32.43243,72.0
957,35.67568,72.0
958,38.91892,72.0
959,42.16216,72.0
960,45.40541,72.0
961,48.64865,72.0
962,51.89189,72.0
963,55.13514,72.0
964,58.37838,72.0
965,61.62162,72.0
966,64.86486,72.0
967,68.10811,72.0
968,71.35135,72.0
969,74.59459,72.0
970,77.83784,72.0
971,81.08108,72.0
972,84.32432,72.0
973,87.56757,72.0
974,90.81081,72.0
975,94.05405,72.0
976,97.2973,72.0
977,100.54054,72.0
978,103.78378,72.0
979,107.02703,72.0
980,110.27027,72.0
981,113.51351,72.0
982,116.75676,72.0
983,120.0,72.0
984,123.24324,72.0
985,126.48649,72.0
986,129.72973,72.0
987,132.97297,72.0
988,136.21622,72.0
989,139.45946,72.0
990,142.7027,72.0
991,145.94595,72.0
992,149.18919,72.0
993,152.43243,72.0
994,155.67568,72.0
995,158.91892,72.0
996,162.16216,72.0
997,165.40541,72.0
998,168.64865,72.0
999,171.89189,72.0
1000,175.13514,72.0
1001,178.37838,72.0
1002,181.62162,72.0
1003,184.86486,72.0
1004,188.10811,72.0
1005,191.35135,72.0
1006,194.59459,72.0
1007,197.83784,72.0
1008,201.08108,72.0
1009,204.32432,72.0
1010,207.56757,72.0
1011,210.81081,72.0
1012,214.05405,72.0
1013,217.2973,72.0
1014,220.54054,72.0
1015,223.78378,72.0
1016,227.02703,72.0
1017,230.27027,72.0
1018,233.51351,72.0
1019,236.75676,72.0
1020,240.0,72.0
1021,243.24324,72.0
1022,246.48649,72.0
