num,Area99,Mean_Dist,P_massfill,P_3dcat,P_2dcat,DegArea,P_2d,P_onlymass,P_2dcat_dcut,P_massdcut
2290,3067,353.1271323,0.309075878,0.261597106,0.291687544,1239.162214,0.266521915,0.07324732,0.00001,
2312,5294,462.8297901,0.324798432,0.312594885,0.308483713,2599.825063,0.316189457,0.045190788,0.00001,
2347,1631,695.9735833,0.749410929,0.664305381,0.586930317,1396.031139,0.746606349,0.024593648,0.00001,
2357,607,104.1150489,0.852482094,0.713996001,0.835816841,318.4457526,0.711204792,0.097682973,0.00001,
2370,3282,323.8162323,0.494763361,0.473265374,0.486984767,1484.261713,0.47683371,0.049669369,0.00001,
2377,1794,310.599209,0.671712244,0.476653338,0.620275222,235.9459696,0.476114805,0.076493303,0.00001,
2438,578,247.4111718,0.935678852,0.911037123,0.918797107,396.3818851,0.905167025,0.35083486,0.00001,
2477,1032,169.1010427,0.741942591,0.603899033,0.733459234,427.5930572,0.657945429,0.173109867,0.00001,
2505,2182,276.5488509,0.55285258,0.460551685,0.525632578,1320.114553,0.491914452,0.021525117,0.00001,
2518,1479,400.4591812,0.502722243,0.436600946,0.455356405,1033.286504,0.472657578,0.02924265,0.00001,
2526,3448,393.1999475,0.216578594,0.180634776,0.201349749,1935.774592,0.199203891,0.040125113,0.00001,
2534,2363,439.2762298,0.520662615,0.474639474,0.466705179,1449.85074,0.511780428,0.082141204,0.00001,
2576,500,136.460725,0.831968513,0.702304491,0.77986769,199.3318552,0.754412101,0.289769832,0.00001,
2595,3335,731.9913207,0.230057011,0.205985233,0.198397639,1725.545055,0.217203307,0.07386419,0.00001,
2618,4908,260.2939567,0.189935969,0.126904592,0.184816704,2726.702411,0.075530246,0.03157262,0.00001,
2625,2294,164.9143506,0.791382702,0.68042441,0.779690896,956.5568539,0.672845131,0.063190022,0.00001,
2644,4763,449.0590097,0.256010215,0.21925015,0.23540577,2857.304118,0.227491107,0.04386588,0.00001,
2677,2525,200.9377068,0.27939156,0.192839857,0.277617128,1079.159059,0.214803669,0.057836918,0.00001,
2679,1966,247.9476495,0.748616043,0.683189123,0.742268885,163.2029564,0.69622099,0.199063149,0.00001,
2702,954,,,,,,,,0.00001,
2727,558,,,,,,,,0.00001,
2728,1598,,,,,,,,0.00001,
2783,2553,,,,,,,,0.00001,
2798,2251,,,,,,,,0.00001,
2809,2054,,,,,,,,0.00001,
2891,3250,,,,,,,,0.00001,
2950,604,,,,,,,,0.00001,
2971,5671,,,,,,,,0.00001,
2981,3493,,,,,,,,0.00001,
2993,5620,,,,,,,,0.00001,
3005,6003,,,,,,,,0.00001,
3012,2421,,,,,,,,0.00001,
3013,4020,,,,,,,,0.00001,
3046,5826,,,,,,,,0.00001,
3061,4269,,,,,,,,0.00001,
3087,4978,,,,,,,,0.00001,
3090,50,,,,,,,,0.00001,
3092,1976,,,,,,,,0.00001,
3141,150,,,,,,,,0.00001,
3148,3120,,,,,,,,0.00001,
3163,761,,,,,,,,0.00001,
3204,3431,,,,,,,,0.00001,
3221,495,,,,,,,,,
3245,2198,,,,,,,,,
3261,5475,,,,,,,,,
3283,3966,,,,,,,,,
3284,2143,,,,,,,,,
3344,2648,,,,,,,,,
3353,1018,,,,,,,,,
3359,4311,,,,,,,,,
3360,4375,,,,,,,,,
3383,3340,,,,,,,,,
3401,5656,,,,,,,,,
3439,3536,,,,,,,,,
3453,5905,,,,,,,,,
3502,4465,,,,,,,,,
3535,5577,,,,,,,,,
3565,1692,,,,,,,,,
3661,4075,,,,,,,,,
3665,3057,,,,,,,,,
3677,2119,,,,,,,,,
3683,3211,,,,,,,,,
3737,4208,,,,,,,,,
3739,5095,,,,,,,,,
3777,3390,,,,,,,,,
3792,2215,,,,,,,,,
3796,4854,,,,,,,,,
3815,6246,,,,,,,,,
3837,805,,,,,,,,,
3843,6268,,,,,,,,,
3862,4188,,,,,,,,,
3889,4942,,,,,,,,,
3904,3775,,,,,,,,,
3918,4431,,,,,,,,,
3931,4809,,,,,,,,,
3933,795,,,,,,,,,
4082,5703,,,,,,,,,
4111,4778,,,,,,,,,
4130,4306,,,,,,,,,
4192,5318,,,,,,,,,
4200,2966,,,,,,,,,
4312,2920,,,,,,,,,
4317,5063,,,,,,,,,
4324,4463,,,,,,,,,
4342,382,,,,,,,,,
4353,4323,,,,,,,,,
4371,1896,,,,,,,,,
4391,1411,,,,,,,,,
4394,3149,,,,,,,,,
4396,893,,,,,,,,,
4410,447,,,,,,,,,
4432,509,,,,,,,,,
4463,3590,,,,,,,,,
4528,3774,,,,,,,,,
4556,1601,,,,,,,,,
4664,5862,,,,,,,,,
4713,1779,,,,,,,,,
4727,4107,,,,,,,,,
4738,248,,,,,,,,,
4747,1515,,,,,,,,,
4757,1742,,,,,,,,,
4767,471,,,,,,,,,
4775,6332,,,,,,,,,
4799,4444,,,,,,,,,
4874,2527,,,,,,,,,
4908,2189,,,,,,,,,
4915,6032,,,,,,,,,
4984,317,,,,,,,,,
4985,190,,,,,,,,,
5038,3259,,,,,,,,,
5048,2586,,,,,,,,,
5099,2610,,,,,,,,,
5150,4109,,,,,,,,,
5171,444,,,,,,,,,
5194,5434,,,,,,,,,
5214,2988,,,,,,,,,
5232,4118,,,,,,,,,
5246,5111,,,,,,,,,
5319,3569,,,,,,,,,
5326,1323,,,,,,,,,
5351,1142,,,,,,,,,
5381,648,,,,,,,,,
5396,467,,,,,,,,,
5405,2541,,,,,,,,,
5424,5665,,,,,,,,,
5465,3378,,,,,,,,,
5494,1383,,,,,,,,,
5520,1874,,,,,,,,,
5525,5035,,,,,,,,,
5579,2469,,,,,,,,,
5625,4485,,,,,,,,,
5644,776,,,,,,,,,
5659,4886,,,,,,,,,
5662,4298,,,,,,,,,
5673,2033,,,,,,,,,
5707,4026,,,,,,,,,
5715,6114,,,,,,,,,
5753,402,,,,,,,,,
5764,6495,,,,,,,,,
5796,1380,,,,,,,,,
5815,1209,,,,,,,,,
5870,861,,,,,,,,,
5871,2088,,,,,,,,,
5901,4103,,,,,,,,,
5909,4927,,,,,,,,,
5969,2350,,,,,,,,,
5984,4186,,,,,,,,,
5991,3791,,,,,,,,,
6014,1046,,,,,,,,,
6019,4447,,,,,,,,,
6039,2767,,,,,,,,,
6076,1130,,,,,,,,,
6103,2459,,,,,,,,,
6124,1205,,,,,,,,,
6134,972,,,,,,,,,
6139,4794,,,,,,,,,
6151,2450,,,,,,,,,
6165,4472,,,,,,,,,
6174,596,,,,,,,,,
6177,4384,,,,,,,,,
6214,2711,,,,,,,,,
