,Gal10,Gal50,GalTot,LocArea90,EventDist
917,1313,43026,387489,6994.489643704974,865.4717406774556
918,61,1953,24264,79.46078155852754,692.6523054323977
919,423,10651,77372,1030.967331436267,905.6356458813341
920,845,25757,250634,5455.6316312470935,549.0762159567802
921,80,2376,19007,670.7923319718186,446.89714266262143
922,0,5,34,3.769444799146637,232.99699416796227
923,636,23994,221127,6614.210938645077,1104.036383848661
924,393,7483,53609,950.9590419138713,1091.2748709880018
925,377,11948,110152,2882.67205014661,899.292319038373
926,251,7147,49121,2587.6308274376706,1136.7486180440796
927,0,1,4,0.8810944029316449,117.34547556991754
928,967,35769,291147,14445.082927729392,1167.7124153385923
929,1201,31201,229289,5280.704476036597,438.41550117437396
930,123,2560,22383,667.9990578088502,350.55144796335986
931,32,908,5757,308.8338335112965,419.6052244368037
932,89,2627,19037,586.6531440393992,463.70325095214156
933,1,10,39,3.396516470463941,466.9664891940513
934,0,9,48,4.8841316716927174,445.4145642098453
935,28,862,7885,92.46983305930063,434.4126871788599
936,901,19077,152485,6194.21003903292,667.0647336847271
937,273,10072,87510,2293.422341392339,1220.6930073414535
938,35,1061,7424,455.3954863062965,401.8163399730839
939,55,2439,18241,2314.8702282164463,743.4039030498072
940,873,22360,165216,2879.878775983642,889.6794507004299
941,952,23532,169335,2843.2645907113047,714.5159391459113
942,2300,54728,397282,6172.690025411178,594.6708398826647
943,4,54,436,10.343638479067309,336.0602047939517
944,353,11524,105372,4904.464871644279,1135.1161694740913
945,5840,121564,925117,13888.421417543084,645.9959499413494
946,70,1923,16171,134.69351609318585,637.6463793949524
947,192,7297,73919,1420.478266593487,853.0020932552916
948,476,15551,130299,16039.386776624035,1251.5993991955843
949,219,6823,66601,2465.2414873229127,1747.0863647809535
950,60,1550,12997,624.6049535587916,373.5328135673379
951,1543,52107,506435,10632.171897535061,1612.13900981719
952,125,2684,30873,655.8948697693204,857.8499931687321
953,923,19062,138997,1946.1088613425914,565.5708192574309
954,286,8684,68978,1581.2161136146317,715.2790625041044
955,362,13150,100633,2996.055376029356,1013.19515188471
956,32,762,5071,421.0500166686708,310.93929429650353
957,1,26,158,40.32953497325729,147.32451871709495
958,0,4,27,5.684083427284611,214.0948531437624
959,97,2557,17451,180.2579812539077,549.9787340263673
960,1504,49051,447323,10232.405843150416,637.232456789138
961,0,0,2,3.5333934614309963,122.17560474624253
962,452,15590,134780,2684.6512057296004,907.1293789091394
963,904,28496,263906,20061.63600148252,1938.30697885245
964,10,225,1615,151.95640940904286,310.7714554394037
965,10,230,2159,114.89143165148488,605.9820509887996
966,2,74,411,41.050802949610635,282.76986976426235
967,7,103,572,20.57662789358041,509.51003762104216
968,897,31723,276689,6906.862141559645,1385.4520254320412
969,650,24089,197339,4454.865757075222,1176.3576303751108
970,721,25614,221042,4313.077586887361,1192.760669112161
971,399,5980,43330,745.5943781012638,457.97202341966647
972,133,4029,31548,1245.682251015055,478.798050742099
973,277,7196,44643,615.7333574496455,757.9330540180653
974,45,1139,8251,81.36230622345909,688.0847788543701
975,5998,124048,944727,14383.814491628977,632.613789208099
976,1771,66248,530681,32083.258528664668,1198.3841838912601
977,268,4348,39059,1047.2679877018527,491.3554952393467
978,1570,59620,556580,10398.481073196577,1259.4724300588216
979,2692,72453,568963,10235.815473584087,736.5392609837954
980,264,5092,33465,492.4162044380328,644.8123366555413
981,497,14989,105533,8648.5669368945,1853.0094094739607
982,2205,64397,547785,10023.893828168268,907.2881442886478
983,38,576,3569,85.88990202047714,634.9036028675578
984,3,34,182,6.693858594179296,427.5617349722122
985,86,2571,22324,513.7952429553063,823.0476085760947
986,3,70,347,36.72811282769296,249.7341246639937
987,1630,44725,338727,10463.106683877837,935.1935528766724
988,53,860,4713,300.54908725563786,396.9754949299494
989,308,7034,52832,822.494658343737,493.3388816299696
990,163,2612,17886,355.5392134709773,420.84895372338246
991,8,98,702,17.335839736192764,306.8189237227851
992,59,2047,18986,450.3400534902199,488.47301892291574
993,3396,51119,407430,24911.07468351264,252.00608815978148
994,82,2466,19623,988.5830023531031,479.8862990172351
995,259,8865,75149,2743.493558636827,891.9147254349098
996,444,16434,164314,15450.976361514975,1265.276254453521
997,7,259,1574,80.44105030820776,725.4061289022524
998,15,532,6033,317.3808590310837,828.2458469882505
999,552,14368,102218,1813.3463763315515,597.6106377616844
1000,15,194,992,28.22452731102709,490.35276565385004
1001,860,29230,249899,5174.281386125661,805.4017370230966
1002,564,15130,116227,1328.0740033502184,661.3248279726101
1003,896,27299,201397,3360.2039063453512,863.0369091729864
1004,539,18406,155981,2954.0120099895594,758.4137792797819
1005,239,9145,81375,1706.3626644935407,1176.1027626514688
1006,219,7744,68262,2968.0177226940204,1202.5933593551717
1007,340,7862,50787,1132.0202534141724,528.2715410222992
1008,104,3437,31178,1421.1864206066339,750.2358859621676
1009,245,6428,50447,855.3844780654496,1275.1008730660506
1010,1,13,49,5.861941553271743,266.930938707757
1011,1203,37882,333249,6308.970331052341,862.6856924082424
1012,16,451,2807,274.40312311282906,632.2005515707735
1013,792,23974,202886,5276.940768596353,514.9781073312475
1014,168,5372,49394,31688.738059562595,1838.7273854297803
1015,2753,61847,444968,7305.893814004729,795.8999576179658
1016,61,1795,17174,1556.7979141242695,659.0143314178841
1017,367,12664,95252,2397.284929987221,1023.779088957305
1018,136,4167,35466,1301.9936090234416,805.9701136134287
1019,164,2908,17620,459.9755379561403,385.3457535945249
1020,403,13330,120107,1989.3226485985617,1323.98850849953
1021,790,28666,264096,9322.847583079229,1363.5197220701275
1022,73,1766,15759,1013.5257603717224,291.46744749754527
1023,349,13256,137585,2820.1315596151717,932.5782381454485
1024,2769,86359,762899,25381.079124830896,467.6220665028403
1025,538,23366,215027,3566.840624588982,1242.390726694932
1026,328,10037,77653,2370.7422684574176,876.3323176970765
1027,3,94,905,147.13538868528107,168.90989838461454
1028,197,6614,59154,1250.4950755118127,904.5724836757778
1029,81,1469,10647,159.2067918167948,592.3180731822996
1030,1430,52159,420545,32086.196056422905,1311.9376643908165
1031,27,509,3242,107.86234737284136,333.4407452053389
1032,9,164,989,28.19666013921344,646.2719592853068
1033,252,4138,27586,2601.862756007443,223.68952096916112
1034,1204,43113,357007,28719.736789628092,1199.1848947072015
1035,2023,63279,578562,11195.075654207625,895.8339285508852
1036,788,20033,129109,2027.0121788538256,724.3077160573231
1037,954,30651,238162,24587.684350842213,995.0600560695608
1038,381,12577,116816,9298.914600227503,854.5704853108066
1039,1418,46057,412706,9585.572721956736,791.0675199948364
1040,22,788,6259,440.983240742436,444.252323257437
1041,42,1026,7012,73.40540904796103,714.4608678703411
1042,120,3999,35501,1108.2118532129089,503.4487415782052
1043,67,2285,19889,987.192922253222,497.46902708584173
1044,43,798,4666,62.58966789346244,615.1036838647402
1045,288,9746,87154,4126.492118386353,1242.3471136179824
1046,8,113,758,20.974964525975555,358.61393136476414
1047,282,8775,67160,7136.330269745661,1324.4707142111035
1048,457,14771,151839,3759.4585161649443,951.9920538183126
1049,291,6752,51746,672.2906022681526,1099.6471907966209
1050,878,30040,241089,31778.17528863041,1852.9110792972492
1051,1008,26667,224247,4343.711804937568,935.350562968947
1052,5,55,329,13.8204779741706,310.2843145093327
1053,31,974,8301,1515.265992649523,606.827597297132
1054,1215,43367,351866,33081.59831964335,1747.5174834409756
1055,257,8111,69492,2380.236777818869,894.3850184319502
1056,131,5427,57554,1437.4215070561875,804.4455037788362
1057,737,25213,230568,2313.932579847187,1772.7733040328771
1058,131,2875,27570,1361.9899906928338,612.1499379087837
1059,1354,34711,261279,24528.09450203222,1199.9026350703332
1060,297,8578,69117,3884.5788391174406,496.165729629144
1061,401,12881,107790,4549.653483131258,1168.7522648272156
1062,449,14909,150281,3434.127316939966,1323.492574217972
1063,307,7507,53389,1838.203893589329,1601.3196436065552
1064,480,17288,155126,3583.7707510884757,725.0305550973387
1065,133,3835,32520,902.5750746637681,682.8595243915178
1066,873,19210,144784,2621.428789111428,1089.0278072102963
1067,0,11,68,7.954438307396849,271.85956157359414
1068,970,26659,211641,23287.670950262942,1178.1868182916505
1069,295,10905,94891,2262.6700976732736,1133.1112178252918
1070,286,11309,104282,14343.790675922968,2149.643369832899
1071,132,2839,21577,992.4778494254111,1198.1269501830598
1072,185,5157,44143,2533.879970745338,970.7822731258121
1073,598,14034,101585,2351.3336029119096,821.3579958036067
1074,1,37,300,22.045391772699954,421.13243592864666
1075,76,1516,8400,240.34616066574466,425.560229395463
1076,953,26924,212409,5933.0651327217865,968.1846884561056
1077,321,12070,104992,2390.623036678357,1961.9311703830629
1078,678,15033,114083,2138.467752145227,1117.2534286167952
1079,492,17976,142644,8357.558257871537,1056.385717936948
1080,59,1827,12875,465.09981907905063,613.5216823960574
1081,1116,40237,376596,14827.171359711776,1618.092517166214
1082,702,16568,133416,4716.4106392641515,915.8771109657458
1083,604,18385,150915,3509.821112567448,657.5422884101123
1084,12,266,1529,71.05145265240783,743.8550129885454
1085,1318,27506,202541,4240.544256392626,462.1190167221199
1086,0,0,19,16.82685403924341,315.2200934031657
1087,60,931,4880,191.21469751287535,573.0950591324412
1088,25,453,2326,58.3874623085038,430.9529871320495
1089,102,2251,15407,157.6593441584367,656.3946616348225
1090,35,924,10145,156.55121426749386,655.998760197423
1091,52,1381,11352,448.8778465927036,853.8428103778162
1092,10,115,509,27.933561252384546,320.2840771097399
1093,245,6567,57414,3695.61974327607,697.4133482939814
1094,660,21329,164995,9915.913455126569,1475.550046287061
1095,453,14815,121862,2789.4448857121383,818.0850109848594
1096,456,15063,137216,2549.144623917616,821.0419746902115
1097,52,1367,9739,187.96571312848369,571.0296803377029
1098,1426,52588,429293,24223.116173703613,1133.1308781744033
1099,139,3970,29333,988.6354582059288,1000.5795358075077
1100,549,19268,170901,4524.763180965464,1134.0941274592371
1101,3,256,2228,80.25499595521661,528.1021123428735
1102,1033,36480,296391,10191.7525572105,1115.251087847625
1103,290,8463,57871,875.5930953665497,1239.1370447086601
1104,454,16496,132492,5645.84966755628,1000.4683275722153
1105,96,2202,15035,781.0151927218163,254.53269975012373
1106,119,3789,33408,5809.197193255503,564.7818499724117
1107,528,17137,143864,2045.437297158852,688.8567871169889
1108,594,16401,134370,28760.127796303877,1798.4537816681811
1109,30,455,2277,74.53320988371354,524.0628136795787
1110,898,21150,160315,2554.141043899264,542.1347780974214
1111,11,256,1825,100.44967967040992,369.2216451263327
1112,321,12248,134892,4184.141100641795,1140.5811113799446
1113,38,407,3181,285.9007903540617,187.7710272468103
1114,628,19864,157660,5393.510787538261,1503.857811653993
1115,702,24817,205054,26157.386404761604,1195.9948220252684
1116,101,2302,21629,605.773302394366,391.1479371245068
1117,472,10191,87386,1112.6410942858786,846.2248106696755
1118,1326,43943,385787,8888.067246933431,726.9663165561484
1119,425,12553,113751,5313.358244420594,998.7983608634343
1120,258,9820,99171,1406.2233885881035,770.1519175333261
1121,199,7553,71504,1606.5654044926503,584.5551681422279
1122,1093,24313,196774,29161.8871730959,2931.0174147423304
1123,992,27162,210674,5934.042122980665,1587.5134097624566
1124,540,10929,90228,2229.590125485068,532.8279990524757
1125,14,254,1594,280.14376050644137,207.81324644414914
1126,294,8223,65401,1167.723018243663,551.1890674468218
1127,2,49,326,64.79281371214175,228.22813865484224
1128,984,30392,248231,9170.174823430034,592.3251905836528
1129,0,8,79,7.751991500397671,274.0547026991962
1130,109,1525,10043,159.72151487264696,687.2824052637882
1131,271,5392,37435,1074.7310855242067,571.0429075509771
1132,3,66,383,26.673801161867395,422.8878679948284
1133,388,11777,94029,2533.0537910633334,820.880090328119
1134,588,13874,99657,1377.4644672764146,651.3805947034487
1135,0,11,65,7.523316766985644,248.76839444688554
1136,28,894,6231,713.4356618283094,736.2073531683485
1137,184,5806,63123,1452.397653037924,1268.1029049319238
1138,104,3573,28838,689.866591455563,869.4021113099953
1139,480,12789,98226,2889.3208294922674,830.0607821786487
1140,3212,75817,570170,6231.58483417123,808.2106709916782
1141,513,11779,81888,1111.5657493029519,1146.8188741095285
1142,1653,44266,358034,22869.96499421191,1223.7440718173532
1143,84,1725,11590,121.64512270279349,603.207704912249
1144,1084,15783,124931,2718.406547022937,337.1510186920648
1145,5,77,513,38.041148393736215,361.11216053799535
1146,1219,42680,354920,7012.298405739299,1294.0046568296211
1147,1051,33015,248255,23642.062691953357,888.8683115363067
1148,0,0,2,5.884890988882986,126.38112219722818
1149,309,10504,86663,1239.6236000136869,872.1586066861994
1150,1034,35799,281710,23011.75316439977,1207.3074638092526
1151,82,2659,21359,640.4957984741765,633.2837016954388
